ID,Ten_Mon,Calories,Protein,Carb,Fat,Fiber,Time_Chay_Bo,Cong_Thuc
phobo,Phở bò,450,18,54,12,2.5,45 phút,Nấu nước dùng từ xương và hành/gừng nướng. Chần bánh phở cho vào tô. Xếp thịt bò thái mỏng lên trên. Chan nước dùng nóng và thêm hành ngò.
buncha,Bún chả,580,25,65,18,3.0,58 phút,"Ướp thịt băm và thịt miếng với mắm, tiêu, hành. Nướng thịt vàng đều hai mặt. Pha nước mắm chua ngọt kèm đu đủ xanh. Ăn kèm bún và rau sống."
comtamsuonnuong,Cơm tấm sườn nướng,620,28,75,22,2.0,62 phút,"Ướp sườn cốt lết với mắm, mật ong, dầu hào. Nướng sườn chín vàng thơm. Nấu cơm từ gạo tấm. Trình bày kèm mỡ hành và đồ chua."
cakhoto,Cá kho tộ,280,22,5,15,0,28 phút,"Ướp cá với mắm, đường, nước màu và tiêu 15 phút. Phi thơm hành tỏi, cho cá vào nồi. Kho lửa nhỏ đến khi nước sệt lại. Thêm hành lá và ớt."
canhchuacaloc,Canh chua cá lóc,150,15,10,4,3.5,15 phút,"Đun sôi nước me, cho cá vào nấu chín. Cho thơm, cà chua, dọc mùng vào đun sôi lại. Nêm gia vị và rau ngổ, ngò gai. Tắt bếp ngay để rau còn giòn."
bunbohue,Bún bò Huế,480,22,56,14,3.0,48 phút,Hầm bắp bò/giò heo với sả và mắm ruốc đã lọc. Nêm nếm nước dùng vừa vị. Chần bún cho vào tô kèm thịt luộc. Chan nước dùng và ăn kèm hoa chuối.
banhxeo,Bánh xèo,350,12,45,15,4.0,35 phút,"Pha bột bánh xèo với nước cốt dừa và hành lá. Xào sơ tôm, thịt, giá trong chảo. Đổ bột vào tráng mỏng, đậy nắp 2 phút. Bánh chín giòn thì gập đôi lại."
thitkhotau,Thịt kho tàu,420,20,10,32,0,42 phút,"Ướp thịt ba chỉ với đường, mắm, hành tím. Cho nước dừa vào kho đến khi thịt săn. Cho trứng luộc vào kho cùng lửa nhỏ. Kho đến khi nước chuyển màu nâu cánh gián."
miquang,Mì Quảng,430,18,52,12,2.5,43 phút,"Xào tôm và thịt heo với dầu điều và tỏi nén. Thêm ít nước dùng sâm sấp, nấu chín đậm vị. Cho mì Quảng ra tô, chan nước nhân lên. Thêm đậu phộng, bánh tráng và rau sống."
goicuon,Gỏi cuốn (3 chiếc),220,14,30,6,4.5,22 phút,"Luộc chín tôm và thịt heo, sau đó thái mỏng. Làm ướt bánh tráng. Xếp xà lách, bún, thịt, tôm vào bánh. Cuộn chặt tay và ăn kèm tương đen hoặc mắm nêm."
phoga,Phở gà,400,15,50,10,2.0,40 phút,"Luộc gà cùng hành tím và gừng nướng lấy nước dùng. Vớt gà ra để nguội, xé phay. Chần bánh phở cho vào tô, xếp gà lên trên. Chan nước dùng nóng và rắc lá chanh thái chỉ."
bunchaca,Bún chả cá,450,18,60,12,3.0,45 phút,"Nấu nước dùng từ xương cá hoặc xương heo, nêm thêm thơm (dứa) và cà chua. Chiên vàng chả cá miếng hoặc chả viên. Chần bún ra tô, xếp chả cá lên. Chan nước dùng nóng, dùng kèm rau sống."
comgahoian,Cơm gà Hội An,550,25,70,18,1.5,55 phút,"Nấu cơm với nước luộc gà và chút bột nghệ cho màu vàng. Gà luộc xé nhỏ trộn với hành tây, rau răm, nước cốt chanh và tiêu. Phi thơm hành tỏi làm nước mắm tỏi ớt. Ăn kèm nộm đu đủ và nước mắm."
